@relation winequality-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13,6
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6
8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,6
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.466667,6
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,6
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
