@relation 'spambase-weka.filters.unsupervised.attribute.Remove-R1-6,8-20,22-51,54-55,57_clustered'

@attribute Instance_number numeric
@attribute word_freq_remove numeric
@attribute word_freq_your numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,0,0.96,0.778,0,61,1,cluster8
1,0.21,1.59,0.372,0.18,101,1,cluster8
2,0.19,0.51,0.276,0.184,485,1,cluster9
3,0.31,0.31,0.137,0,40,1,cluster9
4,0.31,0.31,0.135,0,40,1,cluster9
5,0,0,0,0,15,1,cluster4
6,0,0.64,0.164,0.054,4,1,cluster1
7,0,0,0,0,11,1,cluster4
8,0.3,2,0.181,0.203,445,1,cluster8
9,0.38,0.71,0.244,0.081,43,1,cluster5
10,0.96,0.96,0.462,0,6,1,cluster5
11,0.25,0.77,0.663,0,11,1,cluster8
12,0,1.04,0.786,0,61,1,cluster8
13,0.9,0.9,0,0,7,1,cluster5
14,0,2.85,0.357,0,24,1,cluster1
15,0.42,1.27,0.572,0.063,55,1,cluster5
16,0,2.83,0.428,0,31,1,cluster1
17,0,2.11,1.975,0.37,95,1,cluster3
18,0.18,0.92,0.455,0,4,1,cluster8
19,0,1.91,0.055,0.496,91,1,cluster8
20,0,0,0.729,0,9,1,cluster4
21,0.15,1.57,0.25,0.046,66,1,cluster8
22,0,0,0.809,0,12,1,cluster4
23,0,1.75,0.667,0,5,1,cluster8
24,0,0,0.392,0.196,22,1,cluster9
25,0.15,1.57,0.25,0.046,66,1,cluster8
26,0,0,0.392,0.196,22,1,cluster9
27,1.66,0,0.368,0,12,1,cluster5
28,0,0,0.352,0,11,1,cluster4
29,0.65,1.3,0.091,0,66,1,cluster5
30,0,0,0.886,0,10,1,cluster4
31,0,0,2.112,0,11,1,cluster9
32,0,2.7,0,0.091,11,1,cluster1
33,0,0,0,0.302,5,1,cluster9
34,0,0.68,0,0,30,1,cluster1
35,0,0,1.543,0,6,1,cluster9
36,0,0,0.873,0,12,1,cluster4
37,0.48,2.43,0.488,0.244,78,1,cluster3
38,0,0.97,0.963,0,61,1,cluster8
39,0,1.25,0.75,0,121,1,cluster8
40,0,0.61,0.207,0.207,30,1,cluster8
41,0,0,0.671,0,12,1,cluster4
42,0,0,0.711,0,12,1,cluster4
43,0.18,0.92,0.426,0,4,1,cluster8
44,0.26,0.26,0.813,0.036,38,1,cluster9
45,0,1.51,1.318,0.068,130,1,cluster8
46,0.06,1.09,0.01,0.167,12,1,cluster8
47,0,1.99,0.17,0,8,1,cluster1
48,0.05,1.46,0.325,0.756,193,1,cluster8
49,0.06,0.66,0.278,0.23,40,1,cluster8
50,0,3.84,0,0,12,1,cluster1
51,0.73,2.19,0.498,0.332,30,1,cluster5
52,0.38,0.7,0.244,0.071,43,1,cluster5
53,0,1.26,0.198,0.596,17,1,cluster8
54,0.73,2.2,0.5,0.333,30,1,cluster5
55,0,2.17,1.478,0,30,1,cluster3
56,1.04,2.09,0.615,0.061,59,1,cluster5
57,0,5.06,0,0,8,1,cluster0
58,0,1.36,1.501,0,61,1,cluster8
59,0,1.68,0.669,0,121,1,cluster8
60,0.59,0,0,0,66,1,cluster5
61,0,1.89,0.175,0,11,1,cluster1
62,0.93,0.46,0,0,8,1,cluster5
63,0.68,2.73,0.048,0.048,15,1,cluster3
64,0,3.01,0.019,0.019,34,1,cluster1
65,0,1.32,2.205,0,34,1,cluster2
66,0.48,1.95,0.589,0.294,47,1,cluster3
67,1.47,1.47,0.5,0,3,1,cluster5
68,0,1.23,1.053,0.351,66,1,cluster8
69,0,0,0,0.1,59,1,cluster1
70,2.53,3.79,0.537,0,287,1,cluster6
71,0,1.06,0.877,0,61,1,cluster8
72,0,1.34,0.807,0,121,1,cluster8
73,0.46,1.38,0.298,0.223,13,1,cluster5
74,0.48,2.41,0.486,0.243,78,1,cluster3
75,0,0.94,1.366,0,245,1,cluster8
76,0,1.18,0.165,0.082,16,1,cluster1
77,0,1.26,0.437,0.234,45,1,cluster8
78,0.2,0.62,0.132,0,15,1,cluster8
79,0,0,0,0.338,5,1,cluster9
80,0,1.11,1.431,0,29,1,cluster8
81,0.23,1.9,0.197,0,280,1,cluster8
82,0,0,0.495,0,8,1,cluster4
83,0,1.28,0.724,0,9,1,cluster8
84,0,0,0.834,0,27,1,cluster4
85,0.46,1.4,0.571,0.214,64,1,cluster5
86,0,2.3,0.061,0.061,20,1,cluster1
87,0,1.58,0.268,0,26,1,cluster1
88,0,1.21,0.096,0.085,144,1,cluster8
89,0,0,0,0,23,1,cluster4
90,1.12,1.68,1.083,0.333,140,1,cluster5
91,0.05,1.5,0.322,0.764,193,1,cluster8
92,0.03,1.53,0.613,0.532,763,1,cluster2
93,0.03,1.53,0.612,0.531,763,1,cluster2
94,0,2.31,0.082,0.823,12,1,cluster3
95,0.46,0,0,0,32,1,cluster5
96,0,1.4,1.284,0,61,1,cluster8
97,0,0.86,0.736,0,61,1,cluster8
98,0,0,0.31,0,17,1,cluster4
99,0,1.24,0.461,0.527,19,1,cluster8
100,0.7,1.41,0.38,0,3,1,cluster5
101,0,0,0.662,0,131,1,cluster9
102,0,0,1.529,0,22,1,cluster9
103,0,0,0.662,0,131,1,cluster9
104,0,0,1.529,0,22,1,cluster9
105,0,0,0.662,0,131,1,cluster9
106,0,0,1.529,0,22,1,cluster9
107,0,0,0.462,0,22,1,cluster4
108,0,0,1.529,0,22,1,cluster9
109,1.96,1.96,0,0,60,1,cluster6
110,2.46,0,1.907,0,7,1,cluster6
111,0,0,0,0,27,1,cluster4
112,0.76,0.76,0,0.177,79,1,cluster5
113,0,0.95,0,0,6,1,cluster1
114,0.12,1.38,0,0.119,38,1,cluster8
115,0,1.53,0.542,0,19,1,cluster8
116,0,0.75,0.054,0.118,96,1,cluster8
117,0,0.75,0.054,0.118,96,1,cluster8
118,2.56,5.12,0.542,0,304,1,cluster6
119,1.11,1.67,1.158,0.331,140,1,cluster5
