@relation 'spambase-weka.filters.unsupervised.attribute.Remove-R1-6,8-20,22-51,54-55,57_clustered'

@attribute Instance_number numeric
@attribute word_freq_remove numeric
@attribute word_freq_your numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,0,0.96,0.778,0,61,1,cluster0
1,0.21,1.59,0.372,0.18,101,1,cluster0
2,0.19,0.51,0.276,0.184,485,1,cluster0
3,0.31,0.31,0.137,0,40,1,cluster0
4,0.31,0.31,0.135,0,40,1,cluster0
5,0,0,0,0,15,1,cluster0
6,0,0.64,0.164,0.054,4,1,cluster0
7,0,0,0,0,11,1,cluster0
8,0.3,2,0.181,0.203,445,1,cluster4
9,0.38,0.71,0.244,0.081,43,1,cluster0
10,0.96,0.96,0.462,0,6,1,cluster0
11,0.25,0.77,0.663,0,11,1,cluster0
12,0,1.04,0.786,0,61,1,cluster0
13,0.9,0.9,0,0,7,1,cluster0
14,0,2.85,0.357,0,24,1,cluster4
15,0.42,1.27,0.572,0.063,55,1,cluster0
16,0,2.83,0.428,0,31,1,cluster4
17,0,2.11,1.975,0.37,95,1,cluster4
18,0.18,0.92,0.455,0,4,1,cluster0
19,0,1.91,0.055,0.496,91,1,cluster0
20,0,0,0.729,0,9,1,cluster0
21,0.15,1.57,0.25,0.046,66,1,cluster0
22,0,0,0.809,0,12,1,cluster0
23,0,1.75,0.667,0,5,1,cluster0
24,0,0,0.392,0.196,22,1,cluster0
25,0.15,1.57,0.25,0.046,66,1,cluster0
26,0,0,0.392,0.196,22,1,cluster0
27,1.66,0,0.368,0,12,1,cluster0
28,0,0,0.352,0,11,1,cluster0
29,0.65,1.3,0.091,0,66,1,cluster0
30,0,0,0.886,0,10,1,cluster0
31,0,0,2.112,0,11,1,cluster0
32,0,2.7,0,0.091,11,1,cluster4
33,0,0,0,0.302,5,1,cluster0
34,0,0.68,0,0,30,1,cluster0
35,0,0,1.543,0,6,1,cluster0
36,0,0,0.873,0,12,1,cluster0
37,0.48,2.43,0.488,0.244,78,1,cluster4
38,0,0.97,0.963,0,61,1,cluster0
39,0,1.25,0.75,0,121,1,cluster0
40,0,0.61,0.207,0.207,30,1,cluster0
41,0,0,0.671,0,12,1,cluster0
42,0,0,0.711,0,12,1,cluster0
43,0.18,0.92,0.426,0,4,1,cluster0
44,0.26,0.26,0.813,0.036,38,1,cluster0
45,0,1.51,1.318,0.068,130,1,cluster0
46,0.06,1.09,0.01,0.167,12,1,cluster0
47,0,1.99,0.17,0,8,1,cluster4
48,0.05,1.46,0.325,0.756,193,1,cluster0
49,0.06,0.66,0.278,0.23,40,1,cluster0
50,0,3.84,0,0,12,1,cluster4
51,0.73,2.19,0.498,0.332,30,1,cluster4
52,0.38,0.7,0.244,0.071,43,1,cluster0
53,0,1.26,0.198,0.596,17,1,cluster0
54,0.73,2.2,0.5,0.333,30,1,cluster4
55,0,2.17,1.478,0,30,1,cluster4
56,1.04,2.09,0.615,0.061,59,1,cluster4
57,0,5.06,0,0,8,1,cluster4
58,0,1.36,1.501,0,61,1,cluster0
59,0,1.68,0.669,0,121,1,cluster0
60,0.59,0,0,0,66,1,cluster0
61,0,1.89,0.175,0,11,1,cluster0
62,0.93,0.46,0,0,8,1,cluster0
63,0.68,2.73,0.048,0.048,15,1,cluster4
64,0,3.01,0.019,0.019,34,1,cluster4
65,0,1.32,2.205,0,34,1,cluster0
