@relation 'spambase-weka.filters.unsupervised.attribute.Remove-R1-6,8-20,22-51,54-55,57'

@attribute word_freq_remove numeric
@attribute word_freq_your numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data
0,0.96,0.778,0,61,1
0.21,1.59,0.372,0.18,101,1
0.19,0.51,0.276,0.184,485,1
0.31,0.31,0.137,0,40,1
0.31,0.31,0.135,0,40,1
0,0,0,0,15,1
0,0.64,0.164,0.054,4,1
0,0,0,0,11,1
0.3,2,0.181,0.203,445,1
0.38,0.71,0.244,0.081,43,1
0.96,0.96,0.462,0,6,1
0.25,0.77,0.663,0,11,1
0,1.04,0.786,0,61,1
0.9,0.9,0,0,7,1
0,2.85,0.357,0,24,1
0.42,1.27,0.572,0.063,55,1
0,2.83,0.428,0,31,1
0,2.11,1.975,0.37,95,1
0.18,0.92,0.455,0,4,1
0,1.91,0.055,0.496,91,1
0,0,0.729,0,9,1
0.15,1.57,0.25,0.046,66,1
0,0,0.809,0,12,1
0,1.75,0.667,0,5,1
0,0,0.392,0.196,22,1
0.15,1.57,0.25,0.046,66,1
0,0,0.392,0.196,22,1
1.66,0,0.368,0,12,1
0,0,0.352,0,11,1
0.65,1.3,0.091,0,66,1
0,0,0.886,0,10,1
0,0,2.112,0,11,1
0,2.7,0,0.091,11,1
0,0,0,0.302,5,1
0,0.68,0,0,30,1
0,0,1.543,0,6,1
0,0,0.873,0,12,1
0.48,2.43,0.488,0.244,78,1
0,0.97,0.963,0,61,1
0,1.25,0.75,0,121,1
0,0.61,0.207,0.207,30,1
0,0,0.671,0,12,1
0,0,0.711,0,12,1
0.18,0.92,0.426,0,4,1
0.26,0.26,0.813,0.036,38,1
0,1.51,1.318,0.068,130,1
0.06,1.09,0.01,0.167,12,1
0,1.99,0.17,0,8,1
0.05,1.46,0.325,0.756,193,1
0.06,0.66,0.278,0.23,40,1
0,3.84,0,0,12,1
0.73,2.19,0.498,0.332,30,1
0.38,0.7,0.244,0.071,43,1
0,1.26,0.198,0.596,17,1
0.73,2.2,0.5,0.333,30,1
0,2.17,1.478,0,30,1
1.04,2.09,0.615,0.061,59,1
0,5.06,0,0,8,1
0,1.36,1.501,0,61,1
0,1.68,0.669,0,121,1
0.59,0,0,0,66,1
0,1.89,0.175,0,11,1
0.93,0.46,0,0,8,1
0.68,2.73,0.048,0.048,15,1
0,3.01,0.019,0.019,34,1
0,1.32,2.205,0,34,1
0.48,1.95,0.589,0.294,47,1
1.47,1.47,0.5,0,3,1
0,1.23,1.053,0.351,66,1
0,0,0,0.1,59,1
2.53,3.79,0.537,0,287,1
0,1.06,0.877,0,61,1
0,1.34,0.807,0,121,1
0.46,1.38,0.298,0.223,13,1
0.48,2.41,0.486,0.243,78,1
0,0.94,1.366,0,245,1
0,1.18,0.165,0.082,16,1
0,1.26,0.437,0.234,45,1
0.2,0.62,0.132,0,15,1
0,0,0,0.338,5,1
0,1.11,1.431,0,29,1
0.23,1.9,0.197,0,280,1
0,0,0.495,0,8,1
0,1.28,0.724,0,9,1
0,0,0.834,0,27,1
0.46,1.4,0.571,0.214,64,1
0,2.3,0.061,0.061,20,1
0,1.58,0.268,0,26,1
0,1.21,0.096,0.085,144,1
0,0,0,0,23,1
1.12,1.68,1.083,0.333,140,1
0.05,1.5,0.322,0.764,193,1
0.03,1.53,0.613,0.532,763,1
0.03,1.53,0.612,0.531,763,1
0,2.31,0.082,0.823,12,1
0.46,0,0,0,32,1
0,1.4,1.284,0,61,1
0,0.86,0.736,0,61,1
0,0,0.31,0,17,1
0,1.24,0.461,0.527,19,1
0.7,1.41,0.38,0,3,1
0,0,0.662,0,131,1
0,0,1.529,0,22,1
0,0,0.662,0,131,1
0,0,1.529,0,22,1
0,0,0.662,0,131,1
0,0,1.529,0,22,1
0,0,0.462,0,22,1
0,0,1.529,0,22,1
1.96,1.96,0,0,60,1
2.46,0,1.907,0,7,1
0,0,0,0,27,1
0.76,0.76,0,0.177,79,1
0,0.95,0,0,6,1
0.12,1.38,0,0.119,38,1
0,1.53,0.542,0,19,1
0,0.75,0.054,0.118,96,1
0,0.75,0.054,0.118,96,1
2.56,5.12,0.542,0,304,1
1.11,1.67,1.158,0.331,140,1
0,0.75,0.054,0.118,96,1
0,0.75,0.054,0.118,96,1
0,1.34,0.335,1.281,595,1
0.16,0.64,0.271,0.024,149,1
0.3,0.61,0.092,0.322,49,1
0.33,3.69,1.194,0.054,101,1
0,3.03,0.089,0.178,53,1
0.59,1.19,0.427,0,33,1
0.4,2,0.706,0.212,13,1
0,2.48,0.97,0.149,335,1
0.38,1.52,0.598,0.179,78,1
0.4,2,0.121,0,12,1
0,1.12,0.606,0,19,1
0.16,0.47,0.299,0.174,24,1
0,0,0.215,0.431,25,1
0,0.78,0.16,0.16,31,1
0,0.78,0.16,0.16,31,1
0,0.33,0.12,0.541,21,1
0,1.49,0,0,2,1
0,0.82,0,0,11,1
0,0.33,0.12,0.541,21,1
1.58,0,0.558,0.279,23,1
0,1.34,0.335,1.281,595,1
1.58,0,0.558,0.279,23,1
0,1.38,0.715,0,2,1
0,0,0.215,0.431,27,1
0,0.33,0.12,0.541,21,1
0.14,0.43,0.865,0.023,132,1
0,1.09,0.063,0.126,35,1
0,2.44,0.565,0.121,18,1
0,1.17,0.261,0,19,1
1.12,1.69,1.32,0.33,140,1
0,1.35,0.2,0,3,1
0,0.62,1.055,0,16,1
0,0.67,0.484,0,19,1
0,2.38,0,0,11,1
1.31,3.94,0.117,0.117,186,1
0.45,0.9,0.135,0,46,1
0,0.85,1.088,0,107,1
0,0.27,0,0.185,99,1
0,0.43,0.146,0.146,99,1
0,2.31,0.081,0.816,12,1
0,1.31,0.265,0,38,1
0.34,1.03,0,0,13,1
0,2.31,0.081,0.816,12,1
0.62,1.86,0.517,0,22,1
1.05,0,0,0,34,1
0,1.06,0.7,0,61,1
0.15,0.76,0.567,0.024,132,1
0.57,1.15,0.518,0,33,1
0.26,1.05,0.31,0,71,1
0.08,3.17,0.095,0.013,48,1
0,1.5,0.892,0,19,1
0,0.54,1.443,0,16,1
0,0.78,0.889,0,15,1
0,1.02,0.968,0,18,1
0,0,0,0,2,1
0,1.79,0.944,0.145,28,1
0,1.32,0.583,0,121,1
0,1.02,0.969,0,18,1
0.08,0.77,0.258,0.258,300,1
0.08,0.78,0.259,0.259,62,1
0,0.87,0.835,0,107,1
0,1.78,1.083,0.144,28,1
0,0,0.118,0,7,1
0,0,1.754,0,1,1
0,0.53,0.032,0.14,14,1
3.12,0,0,0,60,1
0,1.59,0.28,0.186,85,1
0.93,1.4,0.135,0,46,1
1.12,2.82,0,0,5,1
0,5.29,0.83,0.069,43,1
0,2.41,1.192,0,12,1
0.14,0.58,0.585,0.046,132,1
0.08,3.17,0.095,0.013,48,1
0,0.81,0.294,0.147,11,1
1.08,1.08,1.18,0.252,68,1
0.08,3.17,0.108,0.013,48,1
1.07,1.07,1.183,0.253,68,1
0.51,1.03,0.067,0,17,1
1.09,1.64,1.045,0.321,140,1
0,1.15,0.985,0.184,78,1
0,1.17,0.869,0.186,78,1
0.86,4.76,0.915,0,47,1
0,0.68,0.187,0.112,30,1
0,1.12,0.615,0,19,1
0,0.55,0.893,0,16,1
0,4.6,0.816,0.068,43,1
0.61,1.23,0.353,0,13,1
0.44,3.33,0.563,0.15,1038,1
0.08,0.94,0.287,0.223,62,1
1.04,2.08,0,0,11,1
1.33,5.33,0.202,1.417,223,1
1.08,1.08,1.182,0.253,68,1
0,0.62,0.08,0,18,1
0,2.72,0.165,0.165,41,1
0,0.02,0,0.022,20,1
0,0.02,0,0.022,20,1
0.53,1.16,0.212,0.185,583,1
0,0.48,0.468,0.267,61,1
0,2.31,0.081,0.816,12,1
0.68,1.37,0.366,0.061,12,1
0,0.72,0.633,0.063,363,1
0.39,1.57,0.779,0.021,49,1
0.32,3.25,0,0.157,10,1
0.32,3.24,0,0.159,10,1
0,3.14,0.258,0.032,43,1
0,0.69,0.188,0.112,30,1
0,0.71,1.094,0,16,1
2.98,2.98,0,0.171,140,1
0.16,0,0.884,0.752,47,1
0,1.1,0.683,0,19,1
0.16,0.98,0.773,0.08,132,1
0,0.36,0,0,13,1
1.69,2.54,1.113,0.278,418,1
0,0.64,0,0,3,1
0,0.64,0,0,3,1
0.08,3.14,0.088,0.013,48,1
2.18,1.09,0.471,0,147,1
0,0.85,0,0.082,42,1
0,2.1,1.806,0,5,1
0,1.12,0.129,0.193,71,1
2.23,1.11,0.479,0,147,1
0,0,0.814,0,15,1
0.32,3.26,0,0.158,10,1
0,3.59,0.937,0,116,1
2.23,1.11,0.479,0,147,1
1.07,2.15,0.145,0.437,10,1
0,0.47,0.461,0.263,61,1
0.15,0,0.862,0.707,51,1
0,0.39,0,0,21,1
0,1.53,2.766,0.829,25,1
0.08,0.73,0.39,0.097,119,1
0,1.04,0.75,0.305,94,1
0,0.97,0.75,0.305,94,1
0,0,2.453,0,26,1
0,3.57,0.931,0,117,1
0,2.4,1.62,0.347,22,1
0.33,3.3,0,0.162,50,1
0.07,1.85,0.159,0.159,44,1
0.33,3.3,0,0.161,50,1
0.15,0,0.862,0.707,51,1
0,0.93,0.043,0,14,1
0.17,0.86,0.665,0.083,132,1
0,1.58,0.271,0.135,26,1
0,0.88,0.204,0.127,73,1
0,3.33,0.784,0,39,1
0,1.5,0.203,0.203,34,1
1.16,2.92,0.09,0.09,9,1
0,0.88,0.204,0.127,73,1
0,0.88,0.204,0.127,73,1
0.58,0,0.829,0,8,1
0,1.01,0.041,0.124,32,1
3.12,0,0,0,60,1
2.28,1.14,0.487,0,147,1
0.17,0.7,0.085,0.057,39,1
0,0.47,0.401,0.267,61,1
2.28,1.14,0.487,0,147,1
0.17,0.51,0.315,0,149,1
2.28,1.14,0.487,0,147,1
3.27,1.63,0.54,0.18,140,1
0.14,0,0.764,0.784,45,1
0.19,0.95,0.632,0.03,132,1
0.2,2.62,1.453,0.129,64,1
0,2.75,0.531,0,28,1
0.15,0,0.732,0.753,45,1
0,0,0.867,0,20,1
0,1.28,1.117,0,7,1
0.06,1.15,0.01,0.167,12,1
0.2,2.92,0.785,0.065,92,1
5.4,0.9,0.841,0.21,295,1
0.17,4.12,1.158,0.057,63,1
0.08,0.77,0.348,0.103,119,1
0.23,1.84,0.841,0.036,52,1
0,0.06,0,0.032,15,1
0,1.05,0.702,0.263,47,1
0.32,3.24,0,0.157,10,1
0,5.97,0.715,0.318,22,1
0,3.27,0.759,0.253,16,1
0,0.94,0.242,0.107,35,1
0.35,2.82,0.411,0,60,1
2.41,2.06,0,0,6,1
0,0.94,0.295,0.107,34,1
0.64,3.2,0.551,0.459,22,1
0.32,3.26,0,0.159,10,1
0.64,2.56,0.554,0.369,22,1
0,0,0.07,0.07,23,1
0,2.75,0.532,0,28,1
0,1.81,0.309,0,11,1
0.43,0.86,0.129,0,46,1
0,1.3,1.133,0,6,1
0,1.03,0.718,0,61,1
0.16,0,0.906,0.663,52,1
0.06,1.09,0.01,0.167,12,1
0.11,0.58,0.322,0.094,48,1
0,0,1.284,0,5,1
0.91,0,0.672,0.269,31,1
0,5.26,0,0.199,25,1
0,0.93,0.268,0.107,42,1
0,0.94,0.241,0.107,35,1
0.32,3.25,0,0.157,10,1
0,0,0.511,0,27,1
0,1.24,1.152,0,121,1
0,0,0,0,4,1
0,0,0.511,0,27,1
0,0,0,0,4,1
0.17,0.17,0.754,0.681,52,1
1,4,0.275,0.137,11,1
0,2.1,0.351,0.175,28,1
0.16,0,0.693,0.67,52,1
0,0,1.434,0,75,1
0,5.26,0,0.201,25,1
0,3.84,0.23,0.23,41,1
