@relation spambase-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N14-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute class {0,1}

@data
4.451371,-0.554256,1.108513,-0.554256,-107.335189,94.126569,2.788602,0.554256,-5.559883,475.004542,-0.554256,480.955868,484.298726,480.384291,1
7.444354,-1.693946,0.256344,-2.639645,-174.154245,159.947964,-0.19399,-1.596951,-9.020521,1771.066984,-0.242487,1782.363419,1783.752524,1780.014759,1
6.841601,-0.484974,-0.80194,-0.299645,-840.462066,815.794198,0.289252,-0.980341,-4.013162,3892.960859,-2.217025,3914.452146,3914.422701,3911.483411,1
6.599114,1.091192,0.299645,-0.774227,-69.044741,56.019719,1.390837,-0.536936,-5.270631,323.921214,-1.091192,334.07796,335.475725,329.747833,1
6.599114,1.091192,0.303109,-0.770763,-69.048205,56.019719,1.394301,-0.536936,-5.274095,323.924678,-1.091192,334.07796,335.472261,329.747833,1
3.204294,3.204294,-0.386247,-0.386247,-25.594515,17.580316,2.818047,0,0.386247,87.948344,-3.204294,96.735038,93.916991,93.530744,1
6.668396,1.108513,-0.093531,-1.202043,-7.482459,-6.514243,6.003288,3.419068,-11.008915,190.908372,-3.325538,196.206715,197.980336,191.679135,1
3.256256,3.256256,-0.356802,-0.356802,-18.695756,11.552779,2.899453,0,0.356802,80.270163,-3.256256,88.126745,85.227292,84.87049,1
2.445656,1.797869,0.587165,-3.098639,-774.126252,748.585431,-7.155102,1.446262,-4.588203,2164.75174,-1.056551,2179.59888,2179.306163,2176.278538,1
4.43405,-0.883346,1.610807,-0.32909,-73.440686,68.677547,-0.190526,-0.171473,-4.399409,1293.893915,-0.259808,1296.301465,1298.812939,1298.412835,1
6.651075,-1.662769,0,-1.662769,-10.392305,-0.19399,1.662769,0,-9.976613,34.100616,-1.662769,43.024142,39.698605,34.710298,1
2.442192,0.450333,0.789815,-1.371784,-18.33549,14.703379,-0.110851,0.450333,-3.924827,316.468199,-0.620074,318.697349,319.878607,319.147682,1
4.208883,-0.606218,0.491902,-1.30943,-107.965655,93.776695,2.882133,0.588897,-5.913221,445.511181,-0.588897,451.459043,455.799562,450.246607,1
4.711178,1.558846,1.558846,-1.558846,-10.56551,2.24647,1.558846,0,-7.82887,39.693408,-1.558846,46.418962,46.453603,40.183579,1
8.625613,0.623538,1.676625,-3.25972,-48.19951,31.971926,5.989432,0.623538,-10.943097,350.873656,-1.229756,365.566643,347.24501,358.136145,1
3.671948,3.671948,0.618342,-1.581362,-97.462499,83.244094,2.090585,1.581362,-7.962238,422.71566,-2.927166,437.134983,429.207386,434.826159,1
3.256256,1.628128,0,-4.901704,-53.693575,40.751691,-3.273576,1.628128,-9.786087,177.271936,-1.628128,185.329436,188.585692,185.329436,1
0,0,-1.212436,-3.654627,-165.185686,103.124573,-3.654627,0.640859,-3.654627,735.201874,0,798.475422,798.475422,797.834563,1
7.361216,1.610807,0.949164,-1.596951,-6.301201,-4.018358,0.342946,0.017321,-8.65679,118.642016,-1.922576,121.243557,126.062122,119.961839,1
6.581793,-2.217025,-3.767211,-4.321467,-164.061585,139.449143,4.996967,0.322161,-11.111106,314.765593,-5.507922,326.006603,325.391725,319.085328,1
0,0,-1.262665,-1.262665,-14.325792,8.949507,-1.262665,0,1.262665,31.935553,0,39.837169,41.099834,39.837169,1
3.964664,1.525937,0.206114,-2.632717,-114.185449,104.084129,-1.058283,1.491296,-6.493458,3907.064949,-1.250541,3913.151375,3917.427809,3912.607512,1
0,5.092229,-0.699749,0,-25.177091,7.979558,9.48471,5.092229,-4.392481,49.777408,-4.392481,63.981957,53.797498,58.889727,1
2.009179,1.004589,-0.230363,-3.261452,-12.448249,0.673768,2.766085,2.009179,-6.819084,117.322194,-2.009179,120.516095,119.741868,117.502327,1
0,0,-0.339482,-0.339482,-40.599271,28.637728,-2.833635,2.833635,0.339482,131.881813,0,142.028166,142.367648,141.688684,1
3.964664,1.525937,0.206114,-2.632717,-114.185449,104.091057,-1.058283,1.491296,-6.493458,3905.339826,-1.250541,3911.419325,3915.695758,3910.875461,1
0,0,-0.339482,-0.339482,-40.599271,28.637728,-2.833635,2.833635,0.339482,131.881813,0,142.028166,142.367648,141.688684,1
5.767729,0,2.875204,0,-20.78461,10.494496,0,-5.767729,-5.767729,82.651732,0,87.174117,81.406388,81.406388,1
0,0,-0.609682,-0.609682,-24.210606,12.124356,5.158047,0,0.609682,54.815944,0,68.121558,57.195782,62.353829,1
4.503332,0,0.330822,-5.298343,-122.561647,104.032168,-8.710484,0,-4.834154,228.152661,-1.125833,225.68622,224.229565,222.308721,1
8.123318,-2.026499,0,-2.026499,-17.320508,3.765478,0,2.026499,-6.096819,98.785786,0,100.164498,110.314316,104.217497,1
5.248114,0,4.638432,4.638432,-18.442877,12.281972,4.638432,0,0.609682,67.097916,0,79.726299,64.591639,79.726299,1
6.079498,1.870615,-0.077942,-5.222133,-19.599887,7.759588,-0.545596,2.963539,-13.951669,151.977066,-3.273576,153.684868,158.907001,154.462559,1
8.365805,0,0,0,-17.549139,-11.015843,8.365805,0.523079,-8.365805,25.977298,0,29.444864,37.810669,20.555979,1
2.355589,2.355589,0,0,-48.428141,40.62352,2.355589,1.498224,-4.711178,450.634587,-0.857365,459.617002,460.794797,457.261413,1
13.30215,0,3.900578,3.900578,-5.424783,-3.2857,-0.533472,0,-8.334628,37.957893,0,43.30127,48.268792,47.73532,1
0,5.092229,-0.755174,0,-25.121665,9.2734,9.429285,5.092229,-4.337055,42.300145,-4.337055,55.321703,45.137244,50.229473,1
6.720357,0.848705,0.691088,-5.197884,-136.213672,117.275428,-1.820385,3.782799,-10.806265,403.159074,-2.528794,413.111438,416.646554,414.368907,1
3.360179,-0.848705,0.69282,-0.987269,-107.196624,96.076858,2.355589,0.831384,-4.901704,316.653529,-0.831384,321.312745,323.997424,321.312745,1
6.47787,0,2.757425,0.592361,-209.443048,197.867752,0.575041,1.420282,-6.360091,486.846573,-0.710141,493.63448,494.479721,495.072082,1
9.023985,1.056551,-0.60795,-2.738372,-52.231724,43.505652,2.544383,-6.535028,-2.561703,387.840817,-1.056551,396.223943,394.181855,390.548012,1
0,5.092229,-0.580237,0,-25.296602,9.344414,9.604222,5.092229,-4.511992,40.988982,-4.511992,53.589652,43.405193,48.497423,1
0,5.092229,-0.614878,0,-25.261961,9.379055,9.569581,5.092229,-4.477351,40.954341,-4.477351,53.589652,43.405193,48.497423,1
7.361216,1.299038,0.949164,-1.596951,-6.301201,-3.954272,0.342946,0.017321,-8.65679,115.242,-1.922576,117.467686,122.59802,116.497737,1
7.00961,-0.254611,0.323894,-3.024161,-69.806844,54.89735,-1.927773,0.316965,-3.476226,586.609235,-0.900666,588.770835,589.797941,585.947592,1
12.522727,-0.259808,1.385641,-1.229756,-223.032718,207.636519,-2.009179,-3.536848,-5.837011,1330.355316,-0.779423,1345.041375,1346.530939,1342.048391,1
9.422356,1.887935,-1.129297,-3.519527,-20.775949,6.074302,1.468779,2.385034,-12.276776,761.250186,-2.701999,765.150765,772.671329,765.79682,1
9.456997,-4.295486,0.277128,-5.750409,-17.597636,4.437514,8.85078,-0.848705,-8.885421,158.832523,0,170.555043,156.525431,164.527506,1
7.868707,-3.244131,-1.047891,-2.532258,-333.958448,316.825002,1.965878,-0.382783,-8.980683,5251.604029,-0.086603,5268.020407,5270.107528,5264.223751,1
7.697234,-1.860223,0.079674,-1.202043,-68.513002,56.65365,2.002251,-2.296699,-6.505583,1548.081031,0.062354,1558.35036,1559.420768,1554.162261,1
3.325538,0,0,-6.651075,-20.78461,12.695932,0,3.325538,-13.30215,52.394537,-3.325538,53.832139,63.808752,57.157677,1
8.1926,0,-0.207846,-3.983717,-55.498372,41.285163,-2.113102,-1.312895,-4.884383,303.635435,0,314.436504,310.868479,313.255245,1
4.43405,-0.883346,1.610807,-0.311769,-73.423366,68.67235,-0.173205,-0.188794,-4.382089,1295.63809,-0.259808,1298.033516,1300.54499,1300.162207,1
0,-2.182384,-0.342946,-4.707714,-32.316604,27.170681,-0.342946,1.032302,-1.839438,113.679691,0,119.511506,117.672068,120.661587,1
7.603703,0,-0.833116,-4.626308,-56.156551,41.259182,-2.132155,-1.328483,-4.899972,298.444478,0,309.274992,306.297597,307.433822,1
1.870615,0,0,-3.75855,-53.832139,46.626808,-1.887935,0,-5.629165,180.133284,0,185.468,183.597386,183.597386,1
8.246294,-1.906988,1.375248,-5.636093,-101.870568,88.409069,-4.046071,0.21131,-9.533208,246.495079,0.105655,251.18374,259.644808,252.668108,1
6.564473,-4.382089,2.182384,-6.581793,-11.674022,3.166189,-8.764177,0,-13.146266,82.026462,0,83.952503,90.534296,90.516975,1
3.135012,0,0.779423,-1.576166,-107.231265,96.913439,1.558846,0.779423,-5.490601,341.600256,-0.779423,346.410162,347.986328,345.613418,1
